A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,g,,865.7,1,,,103,15,0.89,13
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,g,,919.1,1,,,10.0,20,0.092,18
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,g,,991.1,3,,,100,,0.9911,
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,e,Auger L,2.53,,,,0.76,6,1.92E-5,14
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,e,Auger K,16.2,,,,0.145,13,2.34E-5,20
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,bp,,3411.0,25,7266,5,43,4,1.47,14
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,bp,,3497.5,25,7442,5,8.2,24,0.29,8
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,bp,,3527.7,25,7504,5,9.9,20,0.35,7
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,bp,,3577.3,25,7605,5,25,5,0.89,18
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,bp,,3978.6,25,8423,5,14,6,0.56,24
92,Rh,45,47,0+X,,(|>6+),EC,100,,11302,5,4.66 S 25,4.66,3.78E+3 18,0.111 6,0,3.6E+3 3,0,0.0427 25,4.1E+3 4,0,0,0,0,1.14E+4 5,11301 5,0 AP,0 % AP,92Ru,bp av,,3.6E+3,5,,,100,9,3.6,6
